start,end,polarity,voltage,cost_MUSD,length_miles
0ff5e6749c211dec8c7509b33ee8a698,73103ddd969c87aee1a6cfe805b7dbd4,ac,138,70.66,39.43
fed509800df41e8a2ec17e894a2626f0,f33c692cfb7545f0588d168e6837e8b5,ac,138,45.89,25.61
045ce2e6853c2a1183f06fb5c0ed0850,c9a6cd805da336d3dab2bf66c094135a,ac,138,20.66,11.53
4638d1da77f03887a24cccdd583b38a1,17d2b6584074c2bcec3cbf8a3c389af2,ac,138,7.69,4.29
3156231783935e97c9ac263991fe57cc,8a455d2b84726913fe7652efdc0cfadc,ac,138,39.62,22.11
78c9993a943c7fc54b2c81d428e9a921,4b83ab1aa56735dcf18fe2184a776649,ac,138,20.79,11.6
0ff5e6749c211dec8c7509b33ee8a698,e8791c81f0dbb5e99c8abe851ec1900b,ac,138,76.0,42.41
4884a9a553568dcfc894cc2728b6b0dc,0ff5e6749c211dec8c7509b33ee8a698,ac,138,46.54,25.97
ccdb762781d918b6f9a22d7e9c43d652,f536c8bd94fdd9ce73262d2e842e4a41,ac,138,40.28,22.48
581a4c33889fc7aeca599e03628e37d3,67eed99b828e1b94f5b53bce9e400a17,ac,138,51.41,28.69
025c89c8e27d84349ef37fa99e69bc59,420cd0f0b63733bb95cdebf2027965eb,ac,138,58.85,32.84
84094c9f8dc82c57cae08d3cd0acb96f,c53462419aaf6e08c4a06f8d404e0823,ac,138,70.5,39.34
b344953b75615eb41588c6753a3899e9,58dcf38e3941ea8a0e4bd27dca3326a4,ac,138,51.95,28.99
f9145ca6d153a22f2c344f15ce8034f6,7a96a023560f0d135d0025202ea237e0,ac,138,31.88,17.79
0ff5e6749c211dec8c7509b33ee8a698,48a8b46e7ea342b913b50c7087f78162,ac,138,76.91,42.92
44ebc4e28c99d8aeaead73b4b70cc5e9,4ffb58faad74091abc129498ca03587c,ac,138,60.0,33.48
44ebc4e28c99d8aeaead73b4b70cc5e9,df0d340ef29911141baad7928c22fac0,ac,138,50.68,28.28
71585b1edc15fa6b66d97a747392bc43,0656ff8a1ce8d6082a220f2b506534a4,ac,138,37.6,20.98
4b83ab1aa56735dcf18fe2184a776649,93c2ff1e1844baaeeea28891e9d99670,ac,138,32.94,18.38
bb258a61b2b578681ca9bb5bcf8d4daf,fed509800df41e8a2ec17e894a2626f0,ac,138,74.42,41.53
0ff5e6749c211dec8c7509b33ee8a698,e0e840797e83d7cf537d4a0efd4b7724,ac,138,95.35,53.21
