md5_from,md5_to,MW_forward,MW_reverse,source
b9b4228fec4cd35410468b0f59eb955a,74df7f44a49a4ceaee2a955bd1e9d705,0.0,72.367,uprate
cbd3de5cb26d714be8c306541e7f3509,ca5d2301e833bedfa62053bb8210da20,25.121,0.0,uprate
0bbe3f9c489c409d1d6e229ccd23ab00,947663d22229f8112f748de091e39a85,16.588,0.0,uprate
fb4d518989bdeae9784d99c398f86f1f,0dacff7f88d2efe2d6190327ca13d283,0.0,153.523,uprate
35c04340bf1ee3538ee7751f2872b539,39b32d49a6b7d7d5981327098590b413,10.716,0.0,uprate
756a2394d3f7efdf3bfa8c273ab24f03,c8819aac10c0706b7466f78bd9854da0,0.0,22.886,uprate
c2b8ebbde383625a81ba05a0f7b7192d,b0cf1ee86c16266cb50942fcaac40fe8,74.724,0.0,uprate
16a8df1b9fc4ed0c3af66ea89567b0bb,7558a03211f17086e4b8d0fbd35e9a6a,1.362,0.0,uprate
16a8df1b9fc4ed0c3af66ea89567b0bb,a31173d9cd5b13c2ecd3ec68b071c4a4,0.0,7.762,uprate
3b711f9b6132fbe397bc5ff44c46133a,d0761d981bce5c8706808bb62e20f3b9,0.0,9.981,uprate
d0866fb7fef7340334755089f89bdfeb,d629eddc95ad3b072b33e5363def437f,0.0,6.707,uprate
7c016509737f407f177ab479a607fdab,85dc2c3d1a40e7a142b120dfdf72b98a,13.106,0.0,uprate
477b5578e8f07d0832b12537d1721618,5bd7ddf87f22021a5f5d682ce5f93ad6,0.0,10.554,uprate
e463f97ca6bc46b1ba706474e108c7e1,abcd57b3f26fd98d60f6c1f85d1e48de,0.019,8.134,newlink
8381872fa17f9dcb5fdb58802461c46e,a8d97425b65357ac228b9e2015df4e3a,0.0,33.878,uprate
fce1eab4411d5df240d93ff334f15385,565d9a3631f5940b9facd0f153b5f569,0.0,8.257,uprate
80ce4326387c091af8b8647f3292c818,9df41c354c19a3d8c3eb5b2840cfe5d2,0.0,0.708,uprate
aad82857fab8c954239645e7bf631827,c94faaa101a638cffe3889f532b98b7c,0.0,5.357,uprate
aa9a5147c8baff914423f5d1bfba879b,6ce77713a2f0322b851806e5cf96d139,0.0,0.788,uprate
aa9a5147c8baff914423f5d1bfba879b,1f4be5aac180c4920caae2c75e77076d,5.969,0.0,uprate
0865860a7cdf4a65d79dd78c31f8a7d9,a478c2b6c235580960cbae4a4ca4745e,5.3,0.0,uprate
8974b3cfdf5f3b7e194ba60224d5c206,75f83581dbe3440aea46539676d70efe,15.046,0.0,uprate
1facae6326242d7a0a2139b08546ec58,3c1cd7b4cdd34596a73422ca7845c207,0.0,40.858,uprate
